winner,loser,winner_wins,loser_wins,total_games,win_percentage,lose_percentage
ken,zerosuitsamus,1095,708,1803,60.73,39.27
drmario,kirby,870,563,1433,60.71,39.29
minmin,lucas,1358,879,2237,60.71,39.29
steve,link,2951,1911,4862,60.70,39.30
inkling,joker,5277,3420,8697,60.68,39.32
ness,lucario,1151,746,1897,60.67,39.33
megaman,piranhaplant,560,363,923,60.67,39.33
sora,rosalina,435,282,717,60.67,39.33
kingdedede,random,535,347,882,60.66,39.34
younglink,random,370,240,610,60.66,39.34
palutena,jigglypuff,3659,2374,6033,60.65,39.35
richter,mrgameandwatch,863,560,1423,60.65,39.35
bowserjr,darkpit,550,357,907,60.64,39.36
bayonetta,pikachu,1755,1140,2895,60.62,39.38
richter,littlemac,782,508,1290,60.62,39.38
simon,byleth,257,167,424,60.61,39.39
bayonetta,pichu,720,468,1188,60.61,39.39
falco,random,540,351,891,60.61,39.39
steve,diddykong,2265,1473,3738,60.59,39.41
kazuya,wolf,2766,1799,4565,60.59,39.41
kazuya,byleth,2615,1701,4316,60.59,39.41
richter,younglink,604,393,997,60.58,39.42
rob,sephiroth,2984,1944,4928,60.55,39.45
steve,sora,2658,1732,4390,60.55,39.45
sonic,random,577,376,953,60.55,39.45
villager,roy,718,468,1186,60.54,39.46
olimar,lucario,207,135,342,60.53,39.47
ryu,sephiroth,579,378,957,60.50,39.50
snake,cloud,5779,3773,9552,60.50,39.50
robin,incineroar,1269,829,2098,60.49,39.51
donkeykong,pyra,3464,2263,5727,60.49,39.51
villager,pichu,312,204,516,60.47,39.53
ryu,marth,333,218,551,60.44,39.56
olimar,falco,615,403,1018,60.41,39.59
miigunner,byleth,537,352,889,60.40,39.60
richter,pokemontrainer,1028,674,1702,60.40,39.60
kazuya,lucario,658,432,1090,60.37,39.63
steve,daisy,562,369,931,60.37,39.63
iceclimbers,sheik,201,132,333,60.36,39.64
fox,darkpit,787,517,1304,60.35,39.65
wiifittrainer,lucina,1432,941,2373,60.35,39.65
miigunner,darkpit,318,209,527,60.34,39.66
luigi,pokemontrainer,3872,2545,6417,60.34,39.66
inkling,marth,1004,660,1664,60.34,39.66
iceclimbers,falco,996,655,1651,60.33,39.67
miigunner,wolf,1186,780,1966,60.33,39.67
pacman,random,469,309,778,60.28,39.72
minmin,jigglypuff,1784,1176,2960,60.27,39.73
simon,pacman,273,180,453,60.26,39.74
miibrawler,jigglypuff,1230,811,2041,60.26,39.74
kazuya,jigglypuff,1880,1240,3120,60.26,39.74
richter,fox,661,436,1097,60.26,39.74
darksamus,random,159,105,264,60.23,39.77
robin,rosalina,383,253,636,60.22,39.78
minmin,villager,507,335,842,60.21,39.79
rosalina,jigglypuff,637,421,1058,60.21,39.79
zelda,iceclimbers,599,396,995,60.20,39.80
chrom,lucario,325,215,540,60.19,39.81
kazuya,link,2178,1441,3619,60.18,39.82
duckhunt,younglink,603,399,1002,60.18,39.82
banjokazooie,corrin,831,550,1381,60.17,39.83
kingdedede,corrin,1202,796,1998,60.16,39.84
minmin,roy,2130,1411,3541,60.15,39.85
richter,toonlink,480,318,798,60.15,39.85
steve,captainfalcon,3435,2276,5711,60.15,39.85
pacman,littlemac,1927,1278,3205,60.12,39.88
duckhunt,ganondorf,529,351,880,60.11,39.89
diddykong,sephiroth,1385,919,2304,60.11,39.89
duckhunt,ridley,542,360,902,60.09,39.91
megaman,sephiroth,816,542,1358,60.09,39.91
richter,miigunner,277,184,461,60.09,39.91
mrgameandwatch,roy,2190,1455,3645,60.08,39.92
peach,jigglypuff,906,602,1508,60.08,39.92
duckhunt,sephiroth,656,436,1092,60.07,39.93
drmario,villager,314,209,523,60.04,39.96
donkeykong,darkpit,1041,693,1734,60.03,39.97
wolf,random,706,470,1176,60.03,39.97
banjokazooie,jigglypuff,1825,1215,3040,60.03,39.97
steve,ganondorf,1943,1294,3237,60.02,39.98
mrgameandwatch,kirby,1648,1098,2746,60.01,39.99
rob,lucina,3019,2012,5031,60.01,39.99
iceclimbers,daisy,156,104,260,60.00,40.00
simon,ness,540,360,900,60.00,40.00
iceclimbers,mewtwo,312,208,520,60.00,40.00
iceclimbers,fox,594,396,990,60.00,40.00
minmin,pichu,705,470,1175,60.00,40.00
luigi,yoshi,4344,2897,7241,59.99,40.01
kingdedede,roy,2318,1547,3865,59.97,40.03
richter,link,839,560,1399,59.97,40.03
bowserjr,kirby,909,607,1516,59.96,40.04
darksamus,byleth,738,493,1231,59.95,40.05
ken,miiswordfighter,437,292,729,59.95,40.05
ken,hero,1079,721,1800,59.94,40.06
megaman,random,208,139,347,59.94,40.06
snake,shulk,1786,1195,2981,59.91,40.09
duckhunt,joker,1752,1173,2925,59.90,40.10
banjokazooie,random,461,309,770,59.87,40.13
sora,jigglypuff,1787,1198,2985,59.87,40.13
minmin,corrin,1059,710,1769,59.86,40.14
yoshi,jigglypuff,3091,2073,5164,59.86,40.14
diddykong,byleth,1726,1158,2884,59.85,40.15
ken,jigglypuff,1235,829,2064,59.84,40.16
piranhaplant,lucina,1324,889,2213,59.83,40.17
robin,iceclimbers,484,325,809,59.83,40.17
ness,pikachu,3531,2372,5903,59.82,40.18
banjokazooie,lucina,1524,1024,2548,59.81,40.19
rob,mewtwo,1635,1099,2734,59.80,40.20
minmin,pit,650,437,1087,59.80,40.20
pokemontrainer,random,660,444,1104,59.78,40.22
